hometown_city,hometown_state_clean,total
Lake,MS,1
Lake Braddock,VA,1
Lake Charles,LA,5
Lake City,FL,4
Lake Elsinore,CA,2
Lake Forest,CA,1
Lake Forest,IL,8
Lake Havasu,AZ,1
Lake Mary,FL,4
Lake Mills,IA,1
Lake Nona,FL,2
Lake Orion,MI,1
Lake Oswego,OR,5
Lake Placid,FL,1
Lake Stevens,WA,3
Lake Villa,IL,1
Lake Wales,FL,3
Lake Worth,FL,2
Lake in the Hills,IL,1
Lakeland,FL,15
Lakeville,MN,4
Lakewood,CA,4
Lakewood,CO,1
Lakewood,OH,2
Lakewood,WA,3
Lakin,KS,1
Lancaster,CA,3
Lancaster,OH,1
Lancaster,PA,3
Lancaster,TX,6
Land O' Lakes,FL,1
Landenberg,PA,1
Lanett,AL,3
Lanham,MD,2
Lansing,KS,3
Lansing,MI,3
Largo,MD,3
Las Cruces,NM,2
Las Vegas,NV,32
Lathrup Village,MI,1
Lauderdale Lakes,FL,2
Lauderhill,FL,4
Laurel,MD,3
Laurel,MS,1
Laurens,SC,3
Lavon,TX,1
Lawndale,CA,3
Lawrence,KS,8
Lawrenceville,GA,11
Lawton,OK,2
Layton,UT,2
League City,TX,7
Leander,TX,1
Leavenworth,KS,1
Leawood,KS,4
Lebanon,IN,1
Lebanon,MO,1
Lebanon,OR,2
Lebanon,TN,2
Lee's Summit,MO,6
Leechburg,PA,1
Leeds,AL,1
Leesburg,FL,1
Leesburg,GA,6
Leesburg,VA,4
Lee’s Summit,MO,2
Lehi,UT,7
Lehigh Acres,FL,5
Lehigh Valley,PA,1
Lemont,IL,1
Lemoore,CA,1
Lena,IL,2
Lenexa,KS,5
Lenox,MA,1
Leo,IN,2
Leominster,MA,1
Leonardtown,MD,1
Leroy,AL,2
Levittown,PA,1
Lewis Center,OH,2
Lewisburg,TN,1
Lewiston,ID,1
Lewisville,TX,4
Lexington,KY,15
Lexington,MS,3
Lexington,SC,2
Lexington,TX,1
Liberty,MO,1
Liberty Township,OH,1
Ligonier,IN,1
Lihue,HI,1
Lilburn,GA,2
Lima,OH,2
Lincoln,NE,11
Lincolnshire,IL,1
Lincolnton,NC,2
Lindale,TX,1
Lindenhurst,NY,1
Lisle,IL,1
Litchfield Park,AZ,1
Lithia,FL,3
Lititz,PA,2
Little Elm,TX,8
Little River,SC,1
Little Rock,AR,11
Littleton,CO,8
Live Oak,FL,2
Livemore,CA,1
Livermore,CA,2
Livingston,AL,1
Livonia,MI,2
Loachapoka,AL,1
Locust Grove,GA,2
Lodi,NJ,1
Loganville,GA,10
Lombard,IL,1
Lompoc,CA,1
London,OH,1
Lone Tree,CO,2
Long Beach,CA,19
Long Grove,IA,2
Long Island,NY,3
Long Lake,MN,1
Longview,TX,6
Loomis,CA,2
Lorain,OH,1
Loreauville,LA,1
Loris,SC,1
Los Alamitos,CA,2
Los Angeles,CA,32
Los Gatos,CA,3
Louisa,VA,1
Louisburg,KS,1
Louisville,GA,1
Louisville,KY,32
Louisville,MS,5
Lovejoy,GA,2
Loveland,CO,2
Loveland,OH,1
Lowell,MA,1
Lubbock,TX,12
Lucas,TX,2
Lucedale,MS,3
Lufkin,TX,3
Lugoff,SC,1
Lumberton,NC,3
Lusby,MD,1
Lutcher,LA,1
Lynchburg,VA,5
Lynden,WA,3
Lyndon,KS,1
Lynn,MA,1
Lynnwood,WA,1
Lynwood,CA,1
Mableton,GA,2
Macomb,MI,2
Macomb Township,MI,1
Macon,GA,4
Madeira,OH,1
Madera,CA,1
Madison,AL,4
Madison,FL,1
Madison,MS,6
Madison,WI,3
Madisonville,KY,1
Magee,MS,1
Magnolia,TX,3
Mahomet,IL,1
Maiden,NC,2
Maineville,OH,1
Maitland,FL,1
Malibu,CA,2
Malvern,AR,1
Manassas,VA,3
Manchester,CT,1
Manchester,NH,1
Mandeville,LA,5
Manhattan,KS,5
Manhattan,NY,1
Manhattan Beach,CA,4
Manor,TX,4
Manorville,NY,1
Mansfield,MA,1
Mansfield,OH,3
Mansfield,TX,19
Manteno,IL,1
Mantorville,MN,1
Manvel,TX,4
Manville,NJ,1
Many,LA,1
Maple Grove,MN,3
Maplesville,AL,1
Marana,AZ,1
Marcellus,MI,1
Margate,FL,1
Maricopa,AZ,1
Marietta,GA,27
Marin City,CA,1
Marina,CA,1
Marion,IA,1
Marion,SC,1
Marlin,TX,2
Marlow,OK,1
Marrero,LA,4
Mars,PA,2
Marshall,MI,1
Marshall,MN,2
Marshall,TX,3
Marshall,VA,1
Martin,TN,2
Martinez,CA,1
Martinsburg,WV,2
Martinsville,VA,1
Marysville,KS,1
Marysville,OH,1
Maryville,TN,1
Mason,OH,5
Mason,TX,1
Massapequa,NY,1
Massillon,OH,5
Matthews,NC,3
Maui,HI,2
Mauldin,SC,3
Maumelle,AR,2
Maunaloa,HI,1
Mays Landing,NJ,1
McAlester,OK,1
McCordsville,IN,1
McCormick,SC,1
McDonald,PA,1
McDonough,GA,11
McKinney,TX,7
McLean,VA,1
McMinnville,TN,1
McMurray,PA,1
McPherson,KS,2
McRae,GA,1
Mcdonough,GA,1
Mclean,VA,2
Mebane,NC,1
Mechanicsville,VA,1
Medfield,MA,1
Medford,NJ,2
Medford,OR,1
Medina,MN,1
Medina,OH,3
Melbourne,FL,9
Melissa,TX,1
Melrose,MA,2
Melville,NY,2
Memphis,TN,37
Menasha,WI,1
Mendham,NJ,1
Mendon,UT,1
Menifee,CA,2
Menlo Park,CA,2
Menomonee Falls,WI,3
Mentor,OH,5
Mequon,WI,2
Merced,CA,1
Meridian,ID,3
Meridian,MS,4
Merrillville,IN,3
Merritt Island,FL,1
Mesa,AZ,13
Mesquite,TX,5
Metairie,LA,4
Miami,FL,80
Miami Gardens,FL,5
Miamisburg,OH,1
Michigan City,IN,1
Middle Village,NY,1
Middlesex,NC,2
Middlesex,NJ,1
Middleton,WI,2
Middletown,DE,3
Middletown,MD,1
Middletown,NJ,1
Middletown,OH,1
Midland,TX,4
Midlothian,TX,3
Midlothian,VA,2
Midway,UT,1
Milan,MI,1
Milford,DE,1
Milford,NJ,1
Milford,OH,1
Milford,UT,1
Mililani,HI,2
Millbrook,NY,1
Millcreek,UT,1
Milledgeville,GA,2
Millsboro,DE,1
Millstone,NJ,1
Millville,NJ,2
Milton,FL,2
Milton,GA,10
Milton,MA,1
Milwaukee,WI,6
Milwaukie,OR,1
Minneapolis,MN,11
Minneola,FL,2
Minnetonka,MN,1
Miramar,FL,5
Mishawaka,IN,3
Mission,KS,1
Mission Hills,CA,3
Mission Viejo,CA,9
Missoula,MT,1
Missouri City,TX,21
Missouri Valley,IA,1
Mitchellville,MD,1
Mobile,AL,19
Modesto,CA,2
Mokena,IL,1
Moline,IL,1
Monaca,PA,2
Monessen,PA,1
Monmouth Beach,NJ,3
Monmouth Junction,NJ,1
Monroe,GA,2
Monroe,LA,10
Monroe,NC,1
Monroe,WA,2
Monroe,WI,1
Monroeville,AL,1
Monrovia,CA,1
Monsey,NY,1
Montclair,NJ,5
Monterey,CA,1
Montgomery,AL,22
Montgomery,TX,2
Montgomery Village,MD,2
Monticello,AR,1
Monticello,MS,1
Montoursville,PA,1
Montrose,CA,1
Montrose,MI,1
Montvale,NJ,1
Monument,CO,1
Moody,AL,1
Moore,OK,3
Moorestown,NJ,2
Mooresville,NC,4
Moorhead,MN,1
Moorpark,CA,2
Moraga,CA,1
Moreland,GA,1
Moreno Valley,CA,2
Morganfield,KY,1
Morgantown,WV,6
Morrilton,AR,1
Morristown,TN,2
Morrow,GA,1
Morrow,OH,1
Moscow,ID,1
Moss Point,MS,2
Moultrie,GA,3
Moundsview,MN,1
Mount Airy,NC,1
Mount Dora,FL,2
Mount Joy,PA,1
Mount Juliet,TN,4
Mount Olive,MS,1
Mount Pleasant,SC,2
Mount Pleasant,TX,1
Mount Prospect,IL,2
Mount Vernon,GA,1
Mountain Home,ID,1
Mountain View,CA,5
Mt. Laurel,NJ,1
Mt. Washington,KY,1
Muenster,TX,2
Mukilteo,WA,2
Mullica Hill,NJ,1
Mullins,SC,1
Mulvane,KS,1
Munford,AL,1
Murfreesboro,TN,10
Murphy,NC,1
Murrieta,CA,4
Murrysville,PA,1
Muscle Shoals,AL,1
Muskego,WI,2
Muskegon,MI,2
Muskogee,OK,1
Mustang,OK,2
Myrtle Beach,SC,5
Nanakuli,HI,1
Napa,CA,1
Napavine,WA,1
Naperville,IL,11
Naples,FL,12
Napoleonville,LA,1
Nashville,NC,2
Nashville,TN,52
Natchitoches,LA,3
Navarre,FL,1
Navasota,TX,1
Nazareth,PA,1
Needham,MA,1
Needville,TX,2
Neenah,WI,2
Nephi,UT,1
Neptune Beach,FL,1
Nesbit,MS,1
New Albany,IN,1
New Albany,OH,3
New Berlin,WI,1
New Bern,NC,1
New Braunfels,TX,1
New Canaan,CT,5
New Caney,TX,1
New Carlisle,IN,1
New Castle,PA,1
New Fairfield,CT,1
New Haven,CT,3
New Iberia,LA,3
New London,CT,1
New London,NC,1
New Melle,MO,1
New Orleans,LA,39
New Palestine,IN,2
New Providence,NJ,1
New Roads,LA,1
New Rochelle,NY,1
New Waverly,TX,1
New Windsor,NY,1
New York,NY,4
New York City,NY,1
Newark,DE,1
Newark,NJ,9
Newark,OH,1
Newark,TX,1
Newberry,SC,1
Newburgh,NY,1
Newbury,MA,1
Newbury Park,CA,3
Newcastle,WA,1
Newland,NC,1
Newnan,GA,4
Newport,NC,1
Newport Beach,CA,5
Newton,MA,1
Newton,NC,1
Newton,PA,1
Newton,TX,2
Niagara Falls,NY,1
Niceville,FL,3
Nicholasville,KY,1
Nicholls,GA,1
Niles,MI,1
Noblesville,IN,3
Nokesville,VA,1
Nokomis,FL,1
Nolensville,TN,2
Norco,CA,4
Norcross,GA,7
Norfolk,NE,2
Norfolk,VA,11
Normal,IL,2
Norman,OK,9
Norman Park,GA,1
Norris,SC,1
North Andover,MA,1
North Arlingtong,NJ,1
North Augusta,SC,2
North Canton,OH,1
North Charleston,SC,1
North Chesterfield,VA,1
North Haledon,NJ,1
North Highlands,CA,1
North Hollywood,CA,1
North Jackson,OH,1
North Las Vegas,NV,2
North Liberty,IA,1
North Little Rock,AR,1
North Ogden,UT,2
North Richland,TX,1
North Richland Hills,TX,2
North Salem,IN,1
North Salt Lake,UT,1
North Sioux City,SD,1
North Tulsa,OK,1
Northborough,MA,1
Northbrook,IL,2
Northport,AL,1
Northville,MI,4
Norwalk,CT,2
Norwalk,IA,2
Norwalk,OH,2
Norwell,MA,2
Novato,CA,2
O'Fallon,MO,2
Oacoma,SD,1
Oak Creek,WI,2
Oak Grove,LA,2
Oak Hill,VA,1
Oak Hills,CA,1
Oak Lawn,IL,2
Oak Park,CA,1
Oak Park,IL,1
Oak Park,MI,1
Oakboro,NC,1
Oakland,CA,9
Oakland,NE,1
Oakley,CA,1
Oakridge,FL,1
Ocala,FL,3
Ocean Springs,MS,3
Ocean Township,NJ,1
Oceanside,CA,3
Ocilla,GA,2
Ocoee,FL,5
Oconomowoc,WI,2
Odebolt,IA,1
Odessa,FL,1
Odessa,TX,3
Ogden,UT,1
Ohatchee,AL,1
Ojai,CA,1
Oklahoma City,OK,17
Olathe,KS,8
Olive Branch,MS,2
Olivette,MO,1
Olmsted Falls,OH,1
Olney,MD,3
Olympia,WA,2
Omaha,NE,33
Ona,WV,1
Ontario,CA,6
Ooltewah,TN,1
Opa-locka,FL,1
Opelika,AL,5
Opelousas,LA,1
Orange,CA,4
Orange,FL,1
Orange,TX,6
Orange Beach,AL,1
Orange City,FL,1
Orange County,CA,1
Orange Park,FL,3
Orefield,PA,1
Oregon City,OR,1
Orem,UT,5
Orinda,CA,2
Orion,IL,1
Orland Park,IL,1
Orlando,FL,37
Ormond Beach,FL,1
Oro Valley,AZ,1
Oshkosh,WI,1
Osseo,MN,1
Oswego,IL,2
Oswego,KS,1
Overland Park,KS,10
Oviedo,FL,3
Owasso,OK,3
Owensboro,KY,2
Owings,MD,2
Oxford,AL,2
Oxford,GA,1
Oxford,MI,1
Oxford,MS,4
Oxnard,CA,5
Oxon Hill,MD,1
Ozark,AR,1
Pace,FL,2
Pacific Palisades,CA,1
Pacoima,CA,1
Pahokee,FL,5
Paige,TX,1
Palatine,IL,2
Palestine,TX,1
Palm Bay,FL,2
Palm Beach Gardens,FL,3
Palm Coast,FL,1
Palm Desert,CA,1
Palm Harbor,FL,2
Palmdale,CA,5
Palmetto,FL,2
Palmyra,PA,1
Palmyra,VA,1
Palo Alto,CA,1
Palos Verdes,CA,1
Palos Verdes Estates,CA,2
Panama City,FL,1
Papillion,NE,1
Paris,TN,2
Paris,TX,2
Park City,UT,2
Park Ridge,IL,1
Parker,CO,1
Parkersburg,WV,1
Parkin,AR,1
Parkland,FL,1
Parkton,NC,1
Parkville,MO,3
Parsippany,NJ,2
Pasadena,CA,12
Pasadena,MD,2
Pasco,WA,2
Paterson,NJ,4
Paulsboro,NJ,1
Paw Paw,MI,1
Pawhuska,OK,2
Pawleys Island,SC,1
Paxton,MA,1
Payson,UT,1
Peachtree City,GA,1
Pearcy,AR,1
Pearl City,HI,1
Pearland,TX,9
Pelahatchie,MS,1
Pelham,AL,1
Pella,IA,1
Pembroke Pines,FL,3
Pendleton,IN,2
Pennington,NJ,1
Pennsauken,NJ,3
Pensacola,FL,11
Peoria,AZ,6
Peoria,IL,3
Perham,MN,1
Perkasie,PA,1
Perris,CA,1
Perry,FL,2
Perry,GA,2
Perry,OH,1
Perrysburg,OH,2
Petal,MS,3
Pflugerville,TX,3
Phenix City,AL,9
Philadelphia,MS,3
Philadelphia,PA,35
Phoenix,AZ,30
Phoenix,MD,1
Picayune,MS,1
Pickerington,OH,14
Piedmont,CA,1
Piedmont,OK,1
Piedmont,SC,2
Pierce,NE,1
Pierre,SD,2
Pike Road,AL,3
Pikesville,MD,1
Pikeville,KY,1
Pilot Mountain,NC,3
Pine Bluff,AR,4
Pine Mountain,GA,1
Pinecrest,FL,1
Pinehurst,NC,1
Pinson,AL,5
Pittsburg,CA,7
Pittsburg,KS,1
Pittsburgh,PA,22
Pittsford,NY,1
Plainfield,IL,4
Plainfield,IN,1
Plainfield,NJ,2
Plainsboro,NJ,1
Plainville,KS,2
Plano,TX,6
Plant City,FL,4
Plantation,FL,8
Platte City,MO,1
Platville,AL,1
Playa del Rey,CA,1
Pleasant Grove,AL,2
Pleasant Grove,UT,2
Pleasant Hill,IA,1
Pleasant Valley,IA,1
Pleasantville,NJ,2
Point Roberts,WA,1
Pomfret,CT,1
Pompano Beach,FL,7
Ponca City,OK,1
Ponce Inlet,FL,1
Ponchatoula,LA,2
Ponte Vedra,FL,1
Ponte Vedra Beach,FL,2
Pontiac,MI,1
Pontotoc,MS,1
Poplarville,MS,1
Port Arthur,TX,2
Port Chester,NY,1
Port Huron,MI,1
Port Neches,TX,1
Port Neches Grove,TX,1
Port Saint Joe,FL,1
Port St. Joe,FL,1
Port St. Lucie,FL,5
Port Sulpher,LA,1
Portage,MI,3
Portland,OR,27
Portsmouth,VA,3
Post,TX,1
Potomac,MD,3
Pottsgrove,PA,1
Pottsville,PA,1
Poway,CA,1
Powder Springs,GA,6
Powell,OH,3
Powell,TN,2
Prague,OK,2
Prairie Du Sac,WI,1
Prairie Village,KS,2
Prattville,AL,2
Prince George,VA,1
Princeton,IL,1
Princeton,NJ,3
Princeton,WV,1
Prior Lake,MN,3
Prosper,TX,3
Providence,UT,1
Providence Village,TX,1
Provo,UT,7
Pueblo,CO,1
Pukalani,HI,1
Punta Gorda,FL,1
Purcellville,VA,1
Purchase,NY,1
Puyallup,WA,4
Quakertown,PA,1
Queen City,TX,1
Queen Creek,AZ,5
Queens,NY,1
Quincy,FL,2
RIchmond,VA,1
Rabun County,GA,1
Raceland,LA,1
Racine,WI,2
Radcliff,KY,3
Radford,VA,2
Rahway,NJ,1
Raiford,FL,1
Raleigh,MS,1
Raleigh,NC,21
Ramsey,NJ,4
Rancho Cucamonga,CA,7
Rancho Santa Fe,CA,1
Rancho Santa Margarita,CA,4
Randallstown,MD,1
Rapid City,SD,1
Raymore,MO,3
Raynham,MA,1
Reading,PA,3
Red Bank,NJ,1
Red Oak,TX,4
Redding,CA,1
Redford,MI,1
Redlands,CA,2
Redondo Beach,CA,1
Redwood City,CA,1
Reform,AL,1
Reno,NV,5
Renton,WA,2
Reston,VA,1
Rex,GA,1
Reynoldsburg,OH,1
Rialto,CA,2
Riceboro,GA,1
Richardson,TX,2
Richboro,PA,1
Richfield,NC,1
Richfield,UT,1
Richland,WA,1
Richmond,CA,3
Richmond,KY,1
Richmond,TX,8
Richmond,VA,35
Richmond Heights,FL,1
Richmond Hill,GA,2
Richton Park,IL,1
Richwood,OH,1
Ridgefield Park,NJ,1
Ridgeland,MS,1
Ridgely,MD,2
Rigby,ID,1
Ringgold,GA,1
Rio Hondo,TX,1
Rio Linda,CA,1
Ripon,CA,2
Rison,AR,1
River Rouge,MI,1
Riverdale,GA,1
Riverside,CA,6
Riverton,UT,1
Riviera Beach,FL,3
Roanoke,AL,2
Roanoke,VA,4
Robbinsville,NJ,1
Robins,GA,1
Robins,IA,1
Roca,NE,2
Rochelle,GA,1
Rochester,IL,1
Rochester,MI,2
Rochester,NY,3
Rock Hill,SC,8
Rock Rapids,IA,2
Rock Valley,IA,1
Rockdale,TX,2
Rockingham,NC,2
Rockledge,FL,4
Rocklin,CA,1
Rockwall,TX,7
Rocky Hill,CT,1
Rocky Mount,NC,2
Roebuck,SC,2
Rohnert Park,CA,2
Rolesville,NC,1
Rome,GA,5
Romeo,MI,1
Rose Hill,KS,2
Roseburg,OR,1
Roseland,NJ,2
Rosemary Beach,FL,1
Rosemount,MN,2
Roseville,CA,4
Roseville,MI,2
Roswell,GA,18
Round Hill,VA,1
Round Rock,TX,8
Rowland Heights,CA,1
Rowlett,TX,1
Roxboro,NC,1
Roy,UT,1
Royal Center,IN,1
Royersford,PA,2
Royse City,TX,2
Russellville,AL,1
Rutherford,NJ,1
Rutherfordton,NC,1
Sabetha,KS,1
Sachse,TX,2
Sacramento,CA,12
Saddle River,NJ,1
Saint Augustine,FL,1
Saint Charles,IL,1
Saint Croix Falls,WI,1
Saint Francis,MN,1
Saint George,UT,1
Saint James,LA,1
Saint Johns,FL,1
Saint Louis,MO,1
Saint Paul,MN,1
Saint Petersburg,FL,1
Salem,MA,1
Salem,OR,3
Salem,UT,1
Salem,VA,3
Salina,KS,2
Salinas,CA,1
Saline,MI,2
Salisbury,MD,1
Salisbury,NC,3
Sallis,MS,1
Salt Lake City,UT,21
Sammamish,WA,4
San Angelo,TX,1
San Antonio,TX,18
San Bernardino,CA,2
San Bruno,CA,2
San Clemente,CA,7
San Diego,CA,38
San Francisco,CA,7
San Jacinto,CA,3
San Jose,CA,9
San Juan Capistrano,CA,4
San Leandro,CA,2
San Marcos,CA,4
San Mateo,CA,4
San Pedro,CA,2
San Ramon,CA,1
San Tan Valley,AZ,2
Sandersville,GA,1
Sandston,VA,1
Sandy,UT,5
Sanford,FL,8
Sanford,NC,1
Santa Ana,CA,8
Santa Barbara,CA,2
Santa Clara,CA,2
Santa Clara,UT,1
Santa Clarita,CA,2
Santa Cruz,CA,2
Santa Margarita,CA,1
Santa Monica,CA,1
Santa Rosa,CA,2
Santee,SC,1
Saraland,AL,3
Saranac Lake,NY,1
Sarasota,FL,10
Saratoga Springs,UT,2
Sardis,MS,1
Savannah,GA,21
Savannah,TN,1
Schererville,IN,1
Schnecksville,PA,1
Schuylkill Haven,PA,1
Science Hill,KY,1
Scituate,MA,2
Scottsbluff,NE,1
Scottsdale,AZ,22
Scranton,IA,1
Scranton,PA,2
Seabrook,SC,1
Searcy,AR,2
Seat Pleasant,MD,2
Seattle,WA,20
Sedalia,CO,2
Seffner,FL,4
Selby,SD,1
Selma,AL,2
Seminole,FL,1
Sergeant Bluff,IA,1
Severn,MD,1
Severna Park,MD,2
Seward,NE,1
Sewell,NJ,1
Shaker Heights,OH,1
Shakopee,MN,3
Shallotte,NC,1
Sharpsburg,GA,3
Shavertown,PA,1
Shawnee,KS,3
Shawnee Mission,KS,1
Shelby,NC,7
Shelby,OH,1
Shelbyville,TN,1
Shell,WY,1
Shenandoah,IA,1
Sherman Oaks,CA,1
Shillington,PA,2
Shiner,TX,1
Shippensburg,PA,1
Shoreline,WA,1
Shorewood,WI,1
Short Hills,NJ,1
Shreveport,LA,7
Sicklerville,NJ,6
Sickles,FL,1
Sierra Vista,AZ,1
Siloam Springs,AR,1
Silver Creek,MS,1
Silver Spring,MD,4
Silverdale,WA,1
Silverton,OR,2
Simi Valley,CA,7
Sioux Center,IA,1
Sioux City,IA,1
Sioux Falls,SD,3
Six Mile,SC,3
Skaneateles,NY,1
Skillman,NJ,1
Skokie,IL,1
Slidell,LA,1
Slinger,WI,1
Smithfield,UT,1
Smyrna,DE,1
Smyrna,GA,3
Smyrna,TN,1
Snellville,GA,8
Snohomish,WA,2
Snoqualmie,WA,4
Solana Beach,CA,1
Solon,IA,1
Solon,OH,2
Somers,NY,1
Somerset,KY,2
Somerset,NJ,2
Sonora,CA,2
Sophia,WV,1
South Bend,IN,2
South Brunswick,NJ,1
South Central,CA,1
South Central Los Angeles,CA,2
South Chesterfield,VA,1
South Elgin,IL,1
South Hill,WA,1
South Holland,IL,1
South Jordan,UT,8
South Kent,CT,1
South Lake Tahoe,CA,1
South Lyon,MI,1
South Miami,FL,2
South Pasadena,CA,1
South Riding,VA,1
Southaven,MS,2
Southeast San Diego,CA,1
Southern Pines,NC,1
Southfield,MI,6
Southlake,TX,13
Spanaway,WA,1
Spanish Fork,UT,3
Spanish Fort,AL,1
Sparr,FL,1
Spartanburg,SC,3
Spearman,TX,1
Spencer,NC,1
Spokane,WA,7
Spotswood,NJ,1
Spotsylvania,VA,2
Spring,TX,5
Spring Branch,TX,2
Spring Green,WI,1
Spring Grove,IL,1
Spring Hill,TN,3
Spring Valley,CA,1
Spring Valley,IL,1
Spring Valley,WI,1
Springdale,AR,3
Springdale,MD,1
Springfield,IL,3
Springfield,KY,1
Springfield,MA,6
Springfield,MO,2
Springfield,OH,3
Springfield,OR,1
Springfield,VA,3
Springville,UT,1
St. Amant,LA,1
St. Augustine,FL,2
St. Charles,IL,4
St. Charles,MO,2
St. Clairsville,OH,1
St. Cloud,MN,1
St. Francis,KS,1
St. Gabriel,LA,1
St. George,UT,6
St. James,LA,1
St. Johns,MI,1
St. Louis,MO,40
St. Matthews,SC,1
St. Paul,MN,2
St. Petersburg,FL,16
St. Rose,LA,1
St. Simons Island,GA,1
Stafford,TX,1
Stafford,VA,6
Stanhope,NJ,1
Stanwood,WA,1
Starke,FL,4
Starkville,MS,3
State College,PA,3
Staten Island,NY,5
Statesboro,GA,4
Statesville,NC,1
Stayton,OR,1
Steilacoom,WA,1
Stephens City,VA,1
Stephenville,TX,1
Sterling,VA,2
Sterling Heights,MI,2
Steubenville,OH,1
Stevens,PA,1
Stevenson Ranch,CA,2
Stillwater,MN,2
Stillwater,OK,10
Stilwell,KS,2
Stockbridge,GA,3
Stockton,CA,6
Stone Mountain,GA,5
Story City,IA,1
Stoughton,WI,2
Stow,OH,1
Stratford,WI,1
Streetsboro,OH,1
Strongsville,OH,3
Stroudsburg,PA,1
Stuart,FL,2
Suamico,WI,1
Subligna,GA,1
Sudbury,MA,2
Suffield,CT,1
Suffolk,VA,3
Sugar Hill,GA,1
Sugar Land,TX,4
Summerville,SC,1
Summit,NJ,2
Sumner,WA,2
Sumrall,MS,1
Sumter,SC,11
Sun Prairie,WI,4
Sunnyvale,TX,1
Sunrise,FL,5
Sunset,LA,1
Sunset Beach,HI,1
Surprise,AZ,1
Sussex,WI,3
Suwanee,GA,20
Swainsboro,GA,4
Swansboro,NC,1
Sykesville,MD,1
Sylva,NC,1
Syracuse,NY,4
Syracuse,UT,1
Tacoma,WA,10
Talihina,OK,1
Tallahassee,FL,23
Tallmadge,OH,1
Tamarac,FL,1
Tampa,FL,53
Tappahannock,VA,1
Tarrytown,NY,1
Tatum,TX,1
Taylors,SC,1
Taylorsville,MS,2
Taylorsville,NC,1
Taylorsville,UT,2
Teaneck,NJ,1
Temecula,CA,7
Tempe,AZ,4
Temple,TX,6
Temple Hills,MD,1
Templeton,CA,1
Tenaha,TX,1
Tenino,WA,1
Terrell,TX,1
Texarkana,AR,1
Texarkana,TX,5
The Colony,TX,1
The Woodlands,TX,10
Theodore,AL,3
Thibodaux,LA,1
Thomas,OK,1
Thomaston,GA,1
Thomasville,GA,3
Thompson's Station,TN,3
Thousand Oaks,CA,2
Tiffin,IA,1
Tifton,GA,3
Tigard,OR,1
Tiger,GA,2
Timmonsville,SC,1
Timonium,MD,1
Tinley Park,IL,1
Tipp City,OH,1
Tipton,IA,1
Tipton,IN,1
Titusville,FL,3
Toccoa,GA,2
Toledo,OH,3
Tomball,TX,6
Tooele,UT,1
Topeka,KS,2
Torrance,CA,2
Towson,MD,3
Tracy,CA,1
Tracy,MN,1
Trafford,PA,1
Traverse City,MI,3
Trenton,NJ,3
Trenton,TN,3
Trophy Club,TX,1
Troy,MI,1
Troy,MO,1
Trumbull,CT,1
Trussville,AL,12
Tualatin,OR,2
Tucker,GA,2
Tucson,AZ,17
Tulsa,OK,22
Tumwater,WA,3
Tunica,MS,2
Tupelo,MS,5
Turlock,CA,3
Turpin,OK,1
Tuscaloosa,AL,10
Tuscola,TX,1
Tuscon,AZ,1
Tuskegee,AL,1
Tustin,CA,1
Twentynine Palms,CA,1
Tyler,TX,9
Tylertown,MS,2
Tyrone,GA,4
Underwood,IA,1
Union,KY,2
Union,NJ,2
Union City,NJ,1
Uniontown,PA,2
Upland,CA,3
Upper Arlington,OH,1
Upper Marlboro,MD,12
Upper Saddle River,NJ,1
Upton,KY,1
Urbandale,IA,5
Vacaville,CA,3
Vacherie,LA,1
Valdosta,GA,9
Valencia,CA,1
Vallejo,CA,1
Valley Center,CA,1
Valley Stream,NY,1
Valparaiso,IN,1
Valrico,FL,1
Van Meter,IA,2
Van Nuys,CA,3
Vancouver,WA,3
Varnville,SC,1
Venice,FL,3
Ventura,CA,3
Veradale,WA,2
Vero Beach,FL,2
Verona,NJ,1
Verona,WI,4
Vestavia Hills,AL,7
Vian,OK,1
Vicksburg,MS,3
Victor,NY,2
Victoria,MN,1
Victorville,CA,1
Vienna,VA,2
Villa Park,CA,1
Villa Rica,GA,2
Vineland,NJ,1
Virgie,KY,1
Virginia Beach,VA,16
Visalia,CA,1
Vivian,LA,1
Voorhees,NJ,1
Wabasso,FL,1
Waco,TX,10
Wagener,SC,1
Wagoner,OK,2
Wahiawa,HI,1
Wahoo,NE,1
Wailuku,HI,1
Waimanalo,HI,4
Waipahu,HI,3
Wake Forest,NC,7
Waldorf,MD,7
Wales,WI,1
Walhalla,SC,1
Walker,LA,2
Walkersville,MD,1
Wall,TX,1
Waller,TX,1
Wallingford,CT,1
Walnut Creek,CA,2
Warner Robins,GA,5
Warren,AR,2
Warren,MI,3
Warren,NJ,2
Warrenton,NC,1
Warrenton,VA,1
Warsaw,IN,1
Wartrace,TN,1
Washington,DC,20
Washington,IL,1
Washington,MI,1
Washington,MO,3
Washington,NC,2
Washington,PA,3
Washington Court House,OH,1
Waterloo,IA,2
Watertown,MA,1
Watertown,TN,1
Watertown,WI,1
Watkinsville,GA,3
Watson,AL,1
Watson,LA,1
Waukee,IA,1
Waukesha,WI,2
Waukon,IA,1
Waunakee,WI,3
Waverly,IA,2
Waxahachie,TX,5
Waxhaw,NC,3
Waycross,GA,3
Wayne,NJ,3
Waynesville,NC,1
Wayzata,MN,2
Weatherford,OK,1
Weatherford,TX,1
Webb City,MO,1
Webster,TX,1
Weddington,NC,4
Weldon Spring,MO,1
Wellington,FL,1
Wendell,NC,1
Wentzville,MO,1
